index,team,name,description,requirements
0,policy,Policy Analyst,"We create the content for the tool by analysing and coding major policies. We also research the main institutions involved and their role, and follow the evolution of specific policy plans, to fully understand and show the process behind them. We are now focusing on Spain, Belgium, Cyprus, France and Denmark, but feel free to contact us if you'de like to work on another specific country!",We would like you to have 3+ hours/week to dedicate to this project.
1,policy,Reviewer & Copywriter,"It’s not easy to talk about a topic we know so well in a way anyone can understand, leaving all the academic jargon behind. Your mission as a reviewer is to help making our content informal, straightforward and engaging.","Speak and write fluently in English. Experience in copywriting, writing or reviewing is a bonus. We would like you to have 3+ hours/week to dedicate to this project."
2,dev,UX Designer,"Help us to effectively create the platform where it all takes place. Design new content for the website, conduct usability tests and improve the existing one.","Experience in UX Design is required. Experience in User testing, Gamification and/or using Figma are bonuses. We would like you to have 3+ hours/week to dedicate to this project."
3,dev,Full-stack Developer,Help us to effectively create the platform where it all takes place. Code and implement new content and maintain the current one.,"Experience with Ruby on Rails, PostgreSQL (or other RDMS) and JavaScript is required. Experience with Docker is a bonus. We would like you to have 3+ hours/week to dedicate to this project."
4,comms,Social media manager,Shape our outreach strategy and develop social media campaigns to update our community on the latest developments and keep it engaged.,"Have basic knowledge of LinkedIn, Instagram and Facebook, which are the social media channels we use. And are willing to learn more through your role! We would like you to have 5+ hours/week to dedicate to this project."
5,comms,Graphic Designer,"Support our communication team to convey messages in a visual way. Help them by creating graphics for social media and other uses, and ensuring a consistent design in line with our visual identity.","Know how to create impressive things with Canva, and ideally Adobe Photoshop/InDesign or any other graphic design tools. We would like you to have 3+ hours/week to dedicate to this project."
6,comms,Marketing team,"Research and identify the right partners, market opportunities and help us identify and develop the unique selling proposition of OpenPolicy Europe. Collaborate with the Partnership Team to identify relevant partners and create a supportive network of expertise.",We would like you to have 3+ hours/week to dedicate to this project.
7,comms,Community manager,"As a community manager, you should create the space for people to express themselves and collect ideas. Engage with the community in policy discussions and prepare informal activities, amongst others!",Social media presence and knowledge of Discord is a bonus. We would like you to have 5+ hours/week to dedicate to this project.
8,ambassadors,Ambassadors Programme team,Help fine tuning our ambassadorship programme and looking for potential ambassadors for our tool.,Knowledge of Discord and participation in other ambassador programmes is a bonus. We would like you to have 3+ hours/week to dedicate to this project.
9,partners,Partnerships team,"Support us in building long-term partnerships to make OpenPolicy Europe successful. We’re seeking to collaborate with a diverse range of partners, such as think tanks, academia, government institutions or policy advocacy organisations.",We would like you to have 3+ hours/week to dedicate to this project.
